Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,Evaluation,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,RF,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.25,0.3333333333333333,0.28571428571428575,0.19999999999999998,-0.25,-0.2581988897471611,0.3666666666666667,NB,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.4,0.6666666666666666,0.5,0.6,0.05882352941176472,0.06666666666666667,0.5333333333333333,LR,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.25,0.3333333333333333,0.28571428571428575,0.2666666666666666,-0.25,-0.2581988897471611,0.3666666666666667,kNN,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,quantile
0.4444444444444444,0.0,0.0,0.0,0.2,-0.21621621621621623,-0.31622776601683794,0.4,RF,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.5,0.5,0.44999999999999996,0.10000000000000009,0.1,0.55,NB,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,quantile
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.8,0.3076923076923076,0.31622776601683794,0.65,LR,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,quantile
0.6666666666666666,0.5714285714285714,1.0,0.7272727272727273,0.6,0.37209302325581395,0.47809144373375745,0.7,kNN,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,quantile
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.8,0.3076923076923076,0.31622776601683794,0.65,RF,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,quantile
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.8,0.3076923076923076,0.31622776601683794,0.65,NB,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,quantile
0.6666666666666666,1.0,0.25,0.4,0.8500000000000001,0.2702702702702702,0.3952847075210474,0.625,LR,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,quantile
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,kNN,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,quantile
0.875,1.0,0.75,0.8571428571428571,1.0,0.75,0.7745966692414834,0.875,RF,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,quantile
0.75,1.0,0.5,0.6666666666666666,1.0,0.5,0.5773502691896258,0.75,NB,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,1.0,0.25,0.4,1.0,0.25,0.3779644730092272,0.625,LR,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,quantile
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,kNN,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.25,0.25,0.25,0.1875,-0.5,-0.5,0.25,RF,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.25,0.25,0.25,0.1875,-0.5,-0.5,0.25,NB,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.3333333333333333,0.25,0.28571428571428575,0.40625,-0.25,-0.2581988897471611,0.375,LR,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.25,0.25,0.25,0.09375,-0.5,-0.5,0.25,kNN,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.5,0.6666666666666666,0.5714285714285715,0.7333333333333333,0.25,0.2581988897471611,0.6333333333333333,RF,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5666666666666667,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,NB,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.4,0.6666666666666666,0.5,0.6,0.05882352941176472,0.06666666666666667,0.5333333333333333,LR,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.4,0.6666666666666666,0.5,0.6,0.05882352941176472,0.06666666666666667,0.5333333333333333,kNN,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,quantile
0.4444444444444444,0.4,0.5,0.4444444444444445,0.4,-0.09756097560975618,-0.1,0.45,RF,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,clustering
0.2222222222222222,0.0,0.0,0.0,0.19999999999999998,-0.6153846153846154,-0.6324555320336759,0.2,NB,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,clustering
0.2222222222222222,0.0,0.0,0.0,0.35,-0.6153846153846154,-0.6324555320336759,0.2,LR,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,clustering
0.3333333333333333,0.25,0.25,0.25,0.4,-0.34999999999999987,-0.35,0.325,kNN,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,clustering
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6,0.3076923076923076,0.31622776601683794,0.65,RF,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,clustering
0.4444444444444444,0.4,0.5,0.4444444444444445,0.3,-0.09756097560975618,-0.1,0.45,NB,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,clustering
0.6666666666666666,1.0,0.25,0.4,1.0,0.2702702702702702,0.3952847075210474,0.625,LR,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,clustering
0.5555555555555556,0.5,0.5,0.5,0.525,0.10000000000000009,0.1,0.55,kNN,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,clustering
0.5,0.5,0.5,0.5,0.625,0.0,0.0,0.5,RF,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,clustering
0.625,1.0,0.25,0.4,0.75,0.25,0.3779644730092272,0.625,NB,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,clustering
0.625,1.0,0.25,0.4,0.875,0.25,0.3779644730092272,0.625,LR,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,clustering
0.75,0.75,0.75,0.75,0.59375,0.5,0.5,0.75,kNN,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,clustering
0.75,0.75,0.75,0.75,0.59375,0.5,0.5,0.75,RF,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,clustering
0.5,0.5,0.25,0.3333333333333333,0.625,0.0,0.0,0.5,NB,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,clustering
0.625,1.0,0.25,0.4,0.8125,0.25,0.3779644730092272,0.625,LR,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,clustering
0.875,1.0,0.75,0.8571428571428571,0.78125,0.75,0.7745966692414834,0.875,kNN,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,clustering
0.25,0.0,0.0,0.0,0.26666666666666666,-0.6000000000000001,-0.6,0.2,RF,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,clustering
0.25,0.0,0.0,0.0,0.13333333333333333,-0.6000000000000001,-0.6,0.2,NB,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,clustering
0.5,0.4,0.6666666666666666,0.5,0.6,0.05882352941176472,0.06666666666666667,0.5333333333333333,LR,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,clustering
0.5,0.4,0.6666666666666666,0.5,0.3333333333333333,0.05882352941176472,0.06666666666666667,0.5333333333333333,kNN,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,clustering
0.3333333333333333,0.0,0.0,0.0,0.32499999999999996,-0.42105263157894735,-0.47809144373375745,0.3,RF,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,clustering
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.19999999999999998,-0.15384615384615397,-0.15811388300841897,0.425,NB,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,clustering
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.8,0.3076923076923076,0.31622776601683794,0.65,LR,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,clustering
0.4444444444444444,0.4,0.5,0.4444444444444445,0.5,-0.09756097560975618,-0.1,0.45,kNN,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,clustering
0.7777777777777778,0.75,0.75,0.75,0.85,0.55,0.55,0.775,RF,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,clustering
0.7777777777777778,1.0,0.5,0.6666666666666666,0.65,0.5263157894736843,0.5976143046671968,0.75,NB,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,clustering
0.6666666666666666,1.0,0.25,0.4,0.8500000000000001,0.2702702702702702,0.3952847075210474,0.625,LR,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,clustering
0.5555555555555556,0.5,0.5,0.5,0.425,0.10000000000000009,0.1,0.55,kNN,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,clustering
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,RF,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,clustering
0.5,0.0,0.0,0.0,0.875,0.0,0.0,0.5,NB,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,clustering
0.625,1.0,0.25,0.4,1.0,0.25,0.3779644730092272,0.625,LR,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,clustering
0.875,1.0,0.75,0.8571428571428571,0.90625,0.75,0.7745966692414834,0.875,kNN,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,clustering
0.125,0.0,0.0,0.0,0.15625,-0.75,-0.7745966692414834,0.125,RF,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,clustering
0.25,0.25,0.25,0.25,0.0625,-0.5,-0.5,0.25,NB,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,clustering
0.375,0.3333333333333333,0.25,0.28571428571428575,0.40625,-0.25,-0.2581988897471611,0.375,LR,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,clustering
0.25,0.25,0.25,0.25,0.15625,-0.5,-0.5,0.25,kNN,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,clustering
0.5,0.4,0.6666666666666666,0.5,0.8,0.05882352941176472,0.06666666666666667,0.5333333333333333,RF,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,clustering
0.5,0.4,0.6666666666666666,0.5,0.4666666666666666,0.05882352941176472,0.06666666666666667,0.5333333333333333,NB,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,clustering
0.5,0.4,0.6666666666666666,0.5,0.6,0.05882352941176472,0.06666666666666667,0.5333333333333333,LR,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,clustering
0.5,0.4,0.6666666666666666,0.5,0.7666666666666666,0.05882352941176472,0.06666666666666667,0.5333333333333333,kNN,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,clustering
0.4444444444444444,0.4,0.5,0.4444444444444445,0.55,-0.09756097560975618,-0.1,0.45,RF,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.25,0.25,0.25,0.4,-0.34999999999999987,-0.35,0.325,NB,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.3333333333333333,0.5,0.4,0.45,-0.2857142857142856,-0.31622776601683794,0.35,LR,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.25,0.25,0.25,0.17500000000000002,-0.34999999999999987,-0.35,0.325,kNN,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,1.0,0.25,0.4,0.55,0.2702702702702702,0.3952847075210474,0.625,RF,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,1.0,0.25,0.4,0.75,0.2702702702702702,0.3952847075210474,0.625,NB,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.7777777777777778,0.75,0.75,0.75,0.65,0.55,0.55,0.775,LR,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6500000000000001,0.3076923076923076,0.31622776601683794,0.65,kNN,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.5,0.5,0.75,0.0,0.0,0.5,RF,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.5714285714285714,1.0,0.7272727272727273,0.5625,0.25,0.3779644730092272,0.625,NB,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.4,0.5,0.4444444444444445,0.375,-0.25,-0.2581988897471611,0.375,LR,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.5,0.5,0.5625,0.0,0.0,0.5,kNN,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6666666666666666,0.5,0.5714285714285715,0.5625,0.25,0.2581988897471611,0.625,RF,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,0.625,0.25,0.3779644730092272,0.625,NB,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.5,0.6666666666666666,0.9375,0.5,0.5773502691896258,0.75,LR,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,0.75,0.75,0.75,0.71875,0.5,0.5,0.75,kNN,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.25,0.0,0.0,0.0,0.13333333333333333,-0.6000000000000001,-0.6,0.2,RF,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.25,0.0,0.0,0.0,0.13333333333333333,-0.6000000000000001,-0.6,0.2,NB,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.25,0.3333333333333333,0.28571428571428575,0.4666666666666666,-0.25,-0.2581988897471611,0.3666666666666667,LR,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.25,0.0,0.0,0.0,0.19999999999999998,-0.6000000000000001,-0.6,0.2,kNN,Cross-validation,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.25,0.25,0.25,0.35,-0.34999999999999987,-0.35,0.325,RF,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.5,0.10000000000000009,0.1,0.55,NB,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.44999999999999996,-0.15384615384615397,-0.15811388300841897,0.425,LR,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.25,0.3333333333333333,0.6000000000000001,0.052631578947368474,0.05976143046671968,0.525,kNN,Cross-validation,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.7777777777777778,0.75,0.75,0.75,0.85,0.55,0.55,0.775,RF,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.8,0.3076923076923076,0.31622776601683794,0.65,NB,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.1111111111111111,0.0,0.0,0.0,0.14999999999999997,-0.7999999999999998,-0.8,0.1,LR,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.575,0.1428571428571429,0.15811388300841897,0.575,kNN,Cross-validation,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.875,1.0,0.75,0.8571428571428571,0.8125,0.75,0.7745966692414834,0.875,RF,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.5,0.6666666666666666,1.0,0.5,0.5773502691896258,0.75,NB,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.0,0.0,0.0,0.125,0.0,0.0,0.5,LR,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,supervised
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,kNN,Cross-validation,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.25,0.0,0.0,0.0,0.1875,-0.5,-0.5773502691896258,0.25,RF,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,NB,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.875,0.8,1.0,0.888888888888889,0.875,0.75,0.7745966692414834,0.875,LR,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.1875,-0.25,-0.2581988897471611,0.375,kNN,Cross-validation,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.5,0.6666666666666666,0.5714285714285715,0.6666666666666666,0.25,0.2581988897471611,0.6333333333333333,RF,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.4,0.6666666666666666,0.5,0.5333333333333333,0.05882352941176472,0.06666666666666667,0.5333333333333333,NB,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.42857142857142855,1.0,0.6,1.0,0.1578947368421053,0.29277002188455997,0.6,LR,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.5,0.6666666666666666,0.5714285714285715,0.7,0.25,0.2581988897471611,0.6333333333333333,kNN,Cross-validation,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.7,-0.15384615384615397,-0.15811388300841897,0.425,RF,Cross-validation,1,lung,RES vs NONRES,RES,cnv,dip,quantile
0.5555555555555556,0.5,0.5,0.5,0.44999999999999996,0.10000000000000009,0.1,0.55,NB,Cross-validation,1,lung,RES vs NONRES,RES,cnv,dip,quantile
0.4444444444444444,0.4,0.5,0.4444444444444445,0.39999999999999997,-0.09756097560975618,-0.1,0.45,LR,Cross-validation,1,lung,RES vs NONRES,RES,cnv,dip,quantile
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.7,0.3076923076923076,0.31622776601683794,0.65,kNN,Cross-validation,1,lung,RES vs NONRES,RES,cnv,dip,quantile
0.4444444444444444,0.4,0.5,0.4444444444444445,0.65,-0.09756097560975618,-0.1,0.45,RF,Cross-validation,2,lung,RES vs NONRES,RES,cnv,dip,quantile
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.65,0.3076923076923076,0.31622776601683794,0.65,NB,Cross-validation,2,lung,RES vs NONRES,RES,cnv,dip,quantile
0.8888888888888888,1.0,0.75,0.8571428571428571,1.0,0.7692307692307692,0.7905694150420948,0.875,LR,Cross-validation,2,lung,RES vs NONRES,RES,cnv,dip,quantile
0.6666666666666666,1.0,0.25,0.4,0.775,0.2702702702702702,0.3952847075210474,0.625,kNN,Cross-validation,2,lung,RES vs NONRES,RES,cnv,dip,quantile
0.875,1.0,0.75,0.8571428571428571,1.0,0.75,0.7745966692414834,0.875,RF,Cross-validation,3,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.5625,0.25,0.2581988897471611,0.625,NB,Cross-validation,3,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.6875,0.25,0.2581988897471611,0.625,LR,Cross-validation,3,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.6,0.75,0.6666666666666665,0.78125,0.25,0.2581988897471611,0.625,kNN,Cross-validation,3,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.6,0.75,0.6666666666666665,0.875,0.25,0.2581988897471611,0.625,RF,Cross-validation,4,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.625,0.25,0.2581988897471611,0.625,NB,Cross-validation,4,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.625,0.25,0.2581988897471611,0.625,LR,Cross-validation,4,lung,RES vs NONRES,RES,cnv,dip,quantile
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,kNN,Cross-validation,4,lung,RES vs NONRES,RES,cnv,dip,quantile
0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.4666666666666667,0.4666666666666667,0.7333333333333334,RF,Cross-validation,5,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.5,0.6666666666666666,0.5714285714285715,0.6,0.25,0.2581988897471611,0.6333333333333333,NB,Cross-validation,5,lung,RES vs NONRES,RES,cnv,dip,quantile
0.5,0.4,0.6666666666666666,0.5,0.6,0.05882352941176472,0.06666666666666667,0.5333333333333333,LR,Cross-validation,5,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.5,0.6666666666666666,0.5714285714285715,0.7666666666666666,0.25,0.2581988897471611,0.6333333333333333,kNN,Cross-validation,5,lung,RES vs NONRES,RES,cnv,dip,quantile
0.2222222222222222,0.2,0.25,0.22222222222222224,0.27499999999999997,-0.5365853658536586,-0.55,0.225,RF,Cross-validation,6,lung,RES vs NONRES,RES,cnv,dip,quantile
0.6666666666666666,1.0,0.25,0.4,0.6,0.2702702702702702,0.3952847075210474,0.625,NB,Cross-validation,6,lung,RES vs NONRES,RES,cnv,dip,quantile
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.75,0.3076923076923076,0.31622776601683794,0.65,LR,Cross-validation,6,lung,RES vs NONRES,RES,cnv,dip,quantile
0.5555555555555556,0.5,0.25,0.3333333333333333,0.5,0.052631578947368474,0.05976143046671968,0.525,kNN,Cross-validation,6,lung,RES vs NONRES,RES,cnv,dip,quantile
0.5555555555555556,0.5,0.5,0.5,0.65,0.10000000000000009,0.1,0.55,RF,Cross-validation,7,lung,RES vs NONRES,RES,cnv,dip,quantile
0.5555555555555556,0.5,0.5,0.5,0.5499999999999999,0.10000000000000009,0.1,0.55,NB,Cross-validation,7,lung,RES vs NONRES,RES,cnv,dip,quantile
0.7777777777777778,0.75,0.75,0.75,0.85,0.55,0.55,0.775,LR,Cross-validation,7,lung,RES vs NONRES,RES,cnv,dip,quantile
0.5555555555555556,0.5,0.5,0.5,0.65,0.10000000000000009,0.1,0.55,kNN,Cross-validation,7,lung,RES vs NONRES,RES,cnv,dip,quantile
0.75,0.6666666666666666,1.0,0.8,0.84375,0.5,0.5773502691896258,0.75,RF,Cross-validation,8,lung,RES vs NONRES,RES,cnv,dip,quantile
0.875,1.0,0.75,0.8571428571428571,1.0,0.75,0.7745966692414834,0.875,NB,Cross-validation,8,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.875,0.25,0.2581988897471611,0.625,LR,Cross-validation,8,lung,RES vs NONRES,RES,cnv,dip,quantile
0.75,0.6666666666666666,1.0,0.8,0.8125,0.5,0.5773502691896258,0.75,kNN,Cross-validation,8,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.875,0.25,0.2581988897471611,0.625,RF,Cross-validation,9,lung,RES vs NONRES,RES,cnv,dip,quantile
0.25,0.25,0.25,0.25,0.375,-0.5,-0.5,0.25,NB,Cross-validation,9,lung,RES vs NONRES,RES,cnv,dip,quantile
0.375,0.3333333333333333,0.25,0.28571428571428575,0.3125,-0.25,-0.2581988897471611,0.375,LR,Cross-validation,9,lung,RES vs NONRES,RES,cnv,dip,quantile
0.75,0.75,0.75,0.75,0.875,0.5,0.5,0.75,kNN,Cross-validation,9,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.5,0.6666666666666666,0.5714285714285715,0.8,0.25,0.2581988897471611,0.6333333333333333,RF,Cross-validation,10,lung,RES vs NONRES,RES,cnv,dip,quantile
0.5,0.4,0.6666666666666666,0.5,0.6666666666666666,0.05882352941176472,0.06666666666666667,0.5333333333333333,NB,Cross-validation,10,lung,RES vs NONRES,RES,cnv,dip,quantile
0.625,0.5,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.4472135954999579,0.7,LR,Cross-validation,10,lung,RES vs NONRES,RES,cnv,dip,quantile
0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7666666666666666,0.4666666666666667,0.4666666666666667,0.7333333333333334,kNN,Cross-validation,10,lung,RES vs NONRES,RES,cnv,dip,quantile
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.7,-0.15384615384615397,-0.15811388300841897,0.425,RF,Cross-validation,1,lung,RES vs NONRES,RES,cnv,dip,clustering
0.4444444444444444,0.4,0.5,0.4444444444444445,0.44999999999999996,-0.09756097560975618,-0.1,0.45,NB,Cross-validation,1,lung,RES vs NONRES,RES,cnv,dip,clustering
0.3333333333333333,0.3333333333333333,0.5,0.4,0.44999999999999996,-0.2857142857142856,-0.31622776601683794,0.35,LR,Cross-validation,1,lung,RES vs NONRES,RES,cnv,dip,clustering
