Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,cv,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.3333333333333333,0.25,0.25,0.25,0.45000000000000007,-0.34999999999999987,-0.35,0.325,LR,None,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.375,-0.09756097560975618,-0.1,0.45,kNN,None,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.25,0.3333333333333333,0.75,0.052631578947368474,0.05976143046671968,0.525,RF,None,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6499999999999999,0.3076923076923076,0.31622776601683794,0.65,NB,None,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6,0.3076923076923076,0.31622776601683794,0.65,LR,None,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.65,0.10000000000000009,0.1,0.55,kNN,None,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.21875,-0.25,-0.2581988897471611,0.375,RF,None,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.0,0.0,0.0,0.1875,-0.25,-0.3779644730092272,0.375,NB,None,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6666666666666666,0.5,0.5714285714285715,0.375,0.25,0.2581988897471611,0.625,LR,None,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.3125,-0.25,-0.2581988897471611,0.375,kNN,None,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.25,0.25,0.25,0.25,0.3125,-0.5,-0.5,0.25,RF,None,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.42857142857142855,0.75,0.5454545454545454,0.375,-0.25,-0.3779644730092272,0.375,NB,None,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.375,0.0,0.0,0.5,LR,None,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6,0.75,0.6666666666666665,0.5,0.25,0.2581988897471611,0.625,kNN,None,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9333333333333333,0.4666666666666667,0.4666666666666667,0.7333333333333334,RF,None,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.0,0.0,0.0,0.2666666666666666,0.0,0.0,0.5,NB,None,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.3333333333333333,0.5,0.5333333333333333,0.3846153846153846,0.4879500364742666,0.6666666666666666,LR,None,10,lung,RES vs NONRES,RES,cnv,del,supervised
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,kNN,None,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.65,-0.04651162790697683,-0.05976143046671968,0.475,RF,2,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.0,0.0,0.0,0.44999999999999996,-0.21621621621621623,-0.31622776601683794,0.4,NB,2,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.0,0.0,0.0,0.35,-0.21621621621621623,-0.31622776601683794,0.4,LR,2,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.3333333333333333,0.5,0.4,0.32499999999999996,-0.2857142857142856,-0.31622776601683794,0.35,kNN,2,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.625,0.1428571428571429,0.15811388300841897,0.575,RF,2,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6000000000000001,0.1428571428571429,0.15811388300841897,0.575,NB,2,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.7000000000000001,0.1428571428571429,0.15811388300841897,0.575,LR,2,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.425,-0.15384615384615397,-0.15811388300841897,0.425,kNN,2,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.875,1.0,0.75,0.8571428571428571,0.9375,0.75,0.7745966692414834,0.875,RF,2,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,0.625,0.25,0.3779644730092272,0.625,NB,2,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.5,0.6666666666666666,0.75,0.5,0.5773502691896258,0.75,LR,2,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.5,0.6666666666666666,0.875,0.5,0.5773502691896258,0.75,kNN,2,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.375,0.0,0.0,0.5,RF,2,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,0.5,0.25,0.3779644730092272,0.625,NB,2,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.0,0.0,0.0,0.4375,0.0,0.0,0.5,LR,2,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.59375,0.0,0.0,0.5,kNN,2,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.4,0.6666666666666666,0.5,0.5,0.05882352941176472,0.06666666666666667,0.5333333333333333,RF,2,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.4666666666666667,0.4666666666666667,0.7333333333333334,NB,2,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.4,0.6666666666666666,0.5,0.5333333333333332,0.05882352941176472,0.06666666666666667,0.5333333333333333,LR,2,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.4,0.6666666666666666,0.5,0.5333333333333332,0.05882352941176472,0.06666666666666667,0.5333333333333333,kNN,2,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.45,-0.09756097560975618,-0.1,0.45,RF,2,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.5,0.10000000000000009,0.1,0.55,NB,2,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6500000000000001,0.3076923076923076,0.31622776601683794,0.65,LR,2,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.4,-0.04651162790697683,-0.05976143046671968,0.475,kNN,2,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6000000000000001,0.3076923076923076,0.31622776601683794,0.65,RF,2,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.7,0.3076923076923076,0.31622776601683794,0.65,NB,2,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.85,0.3076923076923076,0.31622776601683794,0.65,LR,2,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.675,0.3076923076923076,0.31622776601683794,0.65,kNN,2,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.3125,-0.25,-0.2581988897471611,0.375,RF,2,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.3125,0.0,0.0,0.5,NB,2,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.375,-0.25,-0.2581988897471611,0.375,LR,2,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.5,0.5,0.375,0.0,0.0,0.5,kNN,2,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.625,-0.25,-0.2581988897471611,0.375,RF,2,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.5,0.6666666666666666,0.75,0.5,0.5773502691896258,0.75,NB,2,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6666666666666666,0.5,0.5714285714285715,0.6875,0.25,0.2581988897471611,0.625,LR,2,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.5,0.6666666666666666,0.875,0.5,0.5773502691896258,0.75,kNN,2,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.25,0.3333333333333333,0.28571428571428575,0.3333333333333333,-0.25,-0.2581988897471611,0.3666666666666667,RF,2,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.0,0.0,0.0,0.39999999999999997,0.0,0.0,0.5,NB,2,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.5,0.3333333333333333,0.4,0.4666666666666666,0.1428571428571429,0.14907119849998599,0.5666666666666667,LR,2,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.3333333333333333,0.5,0.8,0.3846153846153846,0.4879500364742666,0.6666666666666666,kNN,2,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,1.0,0.6666666666666666,0.7,0.18181818181818188,0.31622776601683794,0.6,RF,3,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,1.0,0.25,0.4,0.35,0.2702702702702702,0.3952847075210474,0.625,NB,3,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.45,0.3076923076923076,0.31622776601683794,0.65,LR,3,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.5499999999999999,0.10000000000000009,0.1,0.55,kNN,3,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.5,-0.15384615384615397,-0.15811388300841897,0.425,RF,3,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.6000000000000001,-0.09756097560975618,-0.1,0.45,NB,3,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6499999999999999,0.1428571428571429,0.15811388300841897,0.575,LR,3,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.7777777777777778,0.6666666666666666,1.0,0.8,0.75,0.5714285714285714,0.6324555320336759,0.8,kNN,3,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,RF,3,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.0,0.0,0.0,0.625,0.0,0.0,0.5,NB,3,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.3125,0.0,0.0,0.5,LR,3,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6,0.75,0.6666666666666665,0.46875,0.25,0.2581988897471611,0.625,kNN,3,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,0.4375,0.25,0.3779644730092272,0.625,RF,3,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.0,0.0,0.0,0.375,-0.25,-0.3779644730092272,0.375,NB,3,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.0,0.0,0.0,0.3125,0.0,0.0,0.5,LR,3,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.4,0.5,0.4444444444444445,0.375,-0.25,-0.2581988897471611,0.375,kNN,3,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.25,0.3333333333333333,0.28571428571428575,0.2666666666666666,-0.25,-0.2581988897471611,0.3666666666666667,RF,3,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.3333333333333333,0.5,0.7333333333333333,0.3846153846153846,0.4879500364742666,0.6666666666666666,NB,3,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.5,0.6666666666666666,0.5714285714285715,0.6,0.25,0.2581988897471611,0.6333333333333333,LR,3,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.36666666666666664,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,kNN,3,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.2,-0.09756097560975618,-0.1,0.45,RF,3,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.55,0.10000000000000009,0.1,0.55,NB,3,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.25,0.25,0.25,0.45000000000000007,-0.34999999999999987,-0.35,0.325,LR,3,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.25,-0.04651162790697683,-0.05976143046671968,0.475,kNN,3,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.25,0.3333333333333333,0.75,0.052631578947368474,0.05976143046671968,0.525,RF,3,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6499999999999999,0.3076923076923076,0.31622776601683794,0.65,NB,3,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6,0.3076923076923076,0.31622776601683794,0.65,LR,3,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.65,0.10000000000000009,0.1,0.55,kNN,3,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.34375,-0.25,-0.2581988897471611,0.375,RF,3,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.0,0.0,0.0,0.1875,-0.25,-0.3779644730092272,0.375,NB,3,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6666666666666666,0.5,0.5714285714285715,0.375,0.25,0.2581988897471611,0.625,LR,3,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.3125,-0.25,-0.2581988897471611,0.375,kNN,3,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.25,0.25,0.25,0.25,0.3125,-0.5,-0.5,0.25,RF,3,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.42857142857142855,0.75,0.5454545454545454,0.375,-0.25,-0.3779644730092272,0.375,NB,3,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.375,0.0,0.0,0.5,LR,3,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6,0.75,0.6666666666666665,0.5,0.25,0.2581988897471611,0.625,kNN,3,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.43333333333333335,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,RF,3,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.0,0.0,0.0,0.4666666666666666,0.0,0.0,0.5,NB,3,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.5,0.3333333333333333,0.4,0.5333333333333333,0.1428571428571429,0.14907119849998599,0.5666666666666667,LR,3,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.5,0.3333333333333333,0.4,0.6333333333333333,0.1428571428571429,0.14907119849998599,0.5666666666666667,kNN,3,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.5714285714285714,1.0,0.7272727272727273,0.65,0.37209302325581395,0.47809144373375745,0.7,RF,5,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,1.0,0.25,0.4,0.45,0.2702702702702702,0.3952847075210474,0.625,NB,5,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.49999999999999994,-0.15384615384615397,-0.15811388300841897,0.425,LR,5,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.47500000000000003,-0.09756097560975618,-0.1,0.45,kNN,5,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.5,0.10000000000000009,0.1,0.55,RF,5,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6000000000000001,0.1428571428571429,0.15811388300841897,0.575,NB,5,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6499999999999999,0.1428571428571429,0.15811388300841897,0.575,LR,5,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.7777777777777778,0.6666666666666666,1.0,0.8,0.85,0.5714285714285714,0.6324555320336759,0.8,kNN,5,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,1.0,0.25,0.3779644730092272,0.625,RF,5,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,0.75,0.25,0.3779644730092272,0.625,NB,5,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.25,0.0,0.0,0.5,LR,5,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6,0.75,0.6666666666666665,0.46875,0.25,0.2581988897471611,0.625,kNN,5,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.5,-0.25,-0.2581988897471611,0.375,RF,5,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.0,0.0,0.0,0.375,-0.25,-0.3779644730092272,0.375,NB,5,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.0,0.0,0.0,0.3125,0.0,0.0,0.5,LR,5,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,kNN,5,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.25,0.3333333333333333,0.28571428571428575,0.2666666666666666,-0.25,-0.2581988897471611,0.3666666666666667,RF,5,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.25,0.2857142857142857,0.6666666666666666,0.4,0.4666666666666667,-0.26315789473684204,-0.4879500364742666,0.3333333333333333,NB,5,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.25,0.3333333333333333,0.28571428571428575,0.3333333333333333,-0.25,-0.2581988897471611,0.3666666666666667,LR,5,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3999999999999999,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,kNN,5,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.2,-0.09756097560975618,-0.1,0.45,RF,5,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.55,-0.09756097560975618,-0.1,0.45,NB,5,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.5,-0.09756097560975618,-0.1,0.45,LR,5,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.3,-0.09756097560975618,-0.1,0.45,kNN,5,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.25,0.3333333333333333,0.75,0.052631578947368474,0.05976143046671968,0.525,RF,5,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6499999999999999,0.3076923076923076,0.31622776601683794,0.65,NB,5,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6,0.3076923076923076,0.31622776601683794,0.65,LR,5,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.65,0.10000000000000009,0.1,0.55,kNN,5,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.21875,-0.25,-0.2581988897471611,0.375,RF,5,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.0,0.0,0.0,0.1875,-0.25,-0.3779644730092272,0.375,NB,5,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6666666666666666,0.5,0.5714285714285715,0.375,0.25,0.2581988897471611,0.625,LR,5,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.3125,-0.25,-0.2581988897471611,0.375,kNN,5,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.25,0.25,0.25,0.25,0.3125,-0.5,-0.5,0.25,RF,5,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.42857142857142855,0.75,0.5454545454545454,0.375,-0.25,-0.3779644730092272,0.375,NB,5,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.375,0.0,0.0,0.5,LR,5,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6,0.75,0.6666666666666665,0.5,0.25,0.2581988897471611,0.625,kNN,5,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9333333333333333,0.4666666666666667,0.4666666666666667,0.7333333333333334,RF,5,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.0,0.0,0.0,0.2666666666666666,0.0,0.0,0.5,NB,5,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.3333333333333333,0.5,0.5333333333333333,0.3846153846153846,0.4879500364742666,0.6666666666666666,LR,5,10,lung,RES vs NONRES,RES,cnv,del,supervised
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,kNN,5,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.5714285714285714,1.0,0.7272727272727273,0.6,0.37209302325581395,0.47809144373375745,0.7,RF,7,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,1.0,0.25,0.4,0.5,0.2702702702702702,0.3952847075210474,0.625,NB,7,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.25,0.3333333333333333,0.45,0.052631578947368474,0.05976143046671968,0.525,LR,7,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.5499999999999999,0.10000000000000009,0.1,0.55,kNN,7,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.5,0.10000000000000009,0.1,0.55,RF,7,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6000000000000001,0.1428571428571429,0.15811388300841897,0.575,NB,7,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6499999999999999,0.1428571428571429,0.15811388300841897,0.575,LR,7,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.7777777777777778,0.6666666666666666,1.0,0.8,0.85,0.5714285714285714,0.6324555320336759,0.8,kNN,7,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,1.0,0.25,0.3779644730092272,0.625,RF,7,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,0.75,0.25,0.3779644730092272,0.625,NB,7,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.25,0.0,0.0,0.5,LR,7,3,lung,RES vs NONRES,RES,cnv,del,supervised
